"","title","jcode","vol","no","pages","author1","author2","author3","author4","author5","keyauthor1","keyauthor2","keyauthor3","keyauthor4","keyauthor5","authors"
"2944","Institutional Investors and Equity Prices",3,116,1,32,"Paul A. Gompers","Andrew Metrick","","","","OtherAuthor","OtherAuthor","","","",2
"2945","Institutional Uncertainty and Taxpayer Compliance",1,82,4,9,"James Alm","Betty Jackson","Michael McKee","","","OtherAuthor","OtherAuthor","OtherAuthor","","",3
"2946","Instrumental Models and Indirect Encompassing",4,66,3,16,"Geert Dhaene","Christian Gourieroux","Oliver Scaillet","","","OtherAuthor","OtherAuthor","OtherAuthor","","",3
"2947","Instrumental Variable Estimation of a Characteristics Model of Demand",5,48,3,17,"S. E. Pudney","","","","","OtherAuthor","","","","",1
"2948","Instrumental Variables Estimates of the Effect of Subsidized Training on the Qua",4,70,1,27,"Alberto Abadie","Joshua Angrist","Guido Imbens","","","OtherAuthor","Angrist","Imbens","","",3
"2949","Instrumental Variables Estimation of Dynamic Simultaneous Systems with ARMA Erro",5,53,1,14,"J. Campos","","","","","OtherAuthor","","","","",1
"2950","Instrumental Variables Regression with Independent Observations",4,50,2,18,"Halbert White","","","","","White16","","","","",1
"2951","Instrumental Variables Regression with Weak Instruments",4,65,3,30,"Douglas Staiger","James H. Stock","","","","OtherAuthor","OtherAuthor","","","",2
"2952","Instrumental-Variable Estimation of an Error-Components Model",4,54,4,12,"Takeshi Amemiya","Thomas E. MaCurdy","","","","Amemiya","OtherAuthor","","","",2
"2953","Insuring Consumption Against Illness",1,92,1,20,"Paul Gertler","Jonathan Gruber","","","","OtherAuthor","Gruber4","","","",2
"2954","Integrability of Incomplete Systems of Demand Functions",5,49,3,15,"Larry G. Epstein","","","","","Epstein13","","","","",1
"2955","Integrating Behavioral Choice into Epidemiological Models of AIDS",3,111,2,25,"Michael Kremer","","","","","Kremer","","","","",1
"2956","Integration versus Outsourcing in Industry Equilibrium",3,117,1,36,"Gene M. Grossman","Elhanan Helpman","","","","Grossman5","Helpman","","","",2
"2957","Integration Versus Trend Stationary in Time Series",4,60,2,11,"David N. DeJong","John C. Nankervis","N. E. Savin","Charles H. Whiteman","","DeLong34","OtherAuthor","OtherAuthor","Whiteman30","",4
"2958","Intellectual Human Capital and the Birth of U.S. Biotechnology Enterprises",1,88,1,17,"Lynne G. Zucker","Michael R. Darby","Marilynn B. Brewer","","","OtherAuthor","Darby11","OtherAuthor","","",3
"2959","Intelligence, Social Mobility, and Growth",1,90,4,21,"John Hassler","Jose V. Rodriguez Mora","","","","OtherAuthor","OtherAuthor","","","",2
"2960","Interaction Between Endogenous Human Capital and Technological Change",5,63,1,18,"Theo S. Eicher","","","","","Eicher","","","","",1
"2961","Interactions Between the Seasonal and Business Cycles in Production and Inventor",1,87,5,9,"Stephen G. Cecchetti","Anil K. Kashyap","David W. Wilcox","","","CECCHETTI","OtherAuthor","OtherAuthor","","",3
"2962","Interest on Reserves and Sunspot Equilibria: Friedman's Proposal Reconsidered",5,58,1,13,"Bruce D. Smith","","","","","OtherAuthor","","","","",1
"2963","Interest Rate Control and Nonconvergence to Rational Expectations",2,100,4,25,"Peter Howitt","","","","","Howitt","","","","",1
"2964","Interest Rate Seasonals and the Federal Reserve",2,94,1,50,"Truman A. Clark","","","","","OtherAuthor","","","","",1
"2965","Interest Rates and Expected Future Budget Deficits in the United States",2,94,1,25,"Paul Evans","","","","","EVANS32","","","","",1
"2966","Interest Rates and Expected Future Budget Deficits in the United States",2,95,1,25,"Paul Evans","","","","","EVANS32","","","","",1
"2967","Interest Rates, Income Taxes, and Anticipated Inflation",1,72,5,12,"Joe Peek","","","","","OtherAuthor","","","","",1
"2968","Interest Rates, Inflation Expectations, and Spurious Elements in Measured Real I",1,70,5,15,"Gregory V. Jump","","","","","OtherAuthor","","","","",1
"2969","Interest-Group Competition and the Organization of Congress: Theory and Evidence",1,88,5,25,"Randall S. Kroszner","Thomas Stratmann","","","","OtherAuthor","OtherAuthor","","","",2
"2970","Interfirm Relationships and Informal Credit in Vietnam",3,114,4,36,"John McMillan","Christopher Woodruff","","","","OtherAuthor","OtherAuthor","","","",2
"2971","Intergenerational Altruism, Dynastic Equilibria and Social Welfare",5,56,1,10,"B. Douglas Bernheim","","","","","Bernheim","","","","",1
"2972","Intergenerational Flows of Time and Goods: Consequences of Slowing Population Gr",2,96,3,34,"Ronald D. Lee","Shelley Lapkoff","","","","Lee7A","OtherAuthor","","","",2
"2973","Intergenerational Income Mobility Among Daughters",1,92,1,10,"Laura Chadwick","Gary Solon","","","","OtherAuthor","SOLON","","","",2
"2974","Intergenerational Income Mobility in Sweden Compared to the United States",1,87,5,10,"Anders Bjorklund","Markus Jantti","","","","OtherAuthor","OtherAuthor","","","",2
"2975","Intergenerational Income Mobility in the United States",1,82,3,16,"Gary Solon","","","","","SOLON","","","","",1
"2976","Intergenerational Income-Group Mobility and Differential Fertility",1,80,5,14,"C. Y. Cyrus Chu","Hui-Wen Koo","","","","OtherAuthor","OtherAuthor","","","",2
"2977","Intergenerational Trade, Longevity, and Economic Growth",2,99,5,31,"Isaac Ehrlich","Francis T. Lui","","","","OtherAuthor","OtherAuthor","","","",2
"2978","Intergenerational Transfers and Liquidity Constraints",3,105,1,31,"Donald Cox","","","","","OtherAuthor","","","","",1
"2979","Intergenerational Transfers and the Distribution of Earnings",4,49,4,25,"Glenn C. Loury","","","","","LOURY","","","","",1
"2980","Interindustry Wage Differentials: Evidence from Sweden and a Comparison with the",1,82,5,9,"Per-Anders Edin","Johnny Zetterberg","","","","OtherAuthor","OtherAuthor","","","",2
"2981","Interjurisdictional Sorting and Majority Rule: An Empirical Analysis",4,69,6,29,"Dennis Epple","Thomas Romer","Holger Sieg","","","OtherAuthor","Romer5","OtherAuthor","","",3
"2982","Intermediate Goods and Business Cycles: Implications for Productivity and Welfar",1,85,3,20,"Susanto Basu","","","","","BASU","","","","",1
"2983","Intermediation Under Trade Restrictions",3,104,2,26,"G. Michael Winkler","","","","","OtherAuthor","","","","",1
"2984","Internal Bargaining, Labor Contracts, and a Marshallian Theory of the Firm",1,74,3,13,"Hajime Miyazaki","","","","","MIYAZAKI","","","","",1
"2985","Internal Consistency of Choice",4,61,3,27,"Amartya Sen","","","","","Sen","","","","",1
"2986","Internal Migration and Urban Employment in the Third World",1,75,3,14,"William E. Cole","Richard D. Sanders","","","","OtherAuthor","OtherAuthor","","","",2
"2987","Internal Net Worth and the Investment Process: An Application to U.S. Agricultur",2,100,3,29,"R. Glenn Hubbard","Anil K. Kashyap","","","","HUBBARD","OtherAuthor","","","",2
"2988","Internal Versus External Capital Markets",3,109,4,20,"Robert H. Gertner","David S. Scharfstein","Jeremy C. Stein","","","OtherAuthor","OtherAuthor","Stein1","","",3
"2989","International Business Cycles",1,83,3,25,"Shaghil Ahmed","Barry W. Ickes","Ping Wang","Byung Sam Yoo","","OtherAuthor","OtherAuthor","OtherAuthor","OtherAuthor","",4
"2990","International Business Cycles with Endogenous Incomplete Markets",4,70,3,22,"Patrick J. Kehoe","Fabrizio Perri","","","","Kehoe10","OtherAuthor","","","",2
"2991","International Capital Movements under Uncertainty",2,92,2,21,"Gene M. Grossman","Assaf Razin","","","","Grossman5","RAZIN","","","",2
"2992","International Comparisons of Living Standards and Tastes: A Revealed- Preference",1,84,1,10,"Steve Dowrick","John Quiggin","","","","OtherAuthor","OtherAuthor","","","",2
"2993","International Comparisons of Pricing-to-Market Behavior",1,83,3,14,"Michael M. Knetter","","","","","OtherAuthor","","","","",1
"2994","International Coordination of Fiscal Policy in Limiting Economies",2,98,3,20,"V. V. Chari","Patrick J. Kehoe","","","","Chari","Kehoe10","","","",2
"2995","International Coordination of Trade and Domestic Policies",1,91,5,14,"Josh Ederington","","","","","OtherAuthor","","","","",1
"2996","International Differences in Male Wage Inequality: Institutions versus Market Fo",2,104,4,47,"Francine D. Blau","Lawrence M. Kahn","","","","BLAU","OtherAuthor","","","",2
"2997","International Evidence on the Historical Properties of Business Cycles",1,82,4,25,"David K. Backus","Patrick J. Kehoe","","","","OtherAuthor","Kehoe10","","","",2
"2998","International Evidence on the Size of the Random Walk in Output",2,98,3,18,"Timothy Cogley","","","","","OtherAuthor","","","","",1
"2999","International Factor Mobility, Minimum Wage Rates, and Factor-Price Equalization",3,100,3,20,"J. Peter Neary","","","","","OtherAuthor","","","","",1
"3000","International Factor Price Differences: Leontief was Right!",2,101,6,27,"Daniel Trefler","","","","","OtherAuthor","","","","",1
"3001","International Impact of U.S. Money Supply: The Case of Mexico",1,70,3,11,"Mike Farrell","","","","","OtherAuthor","","","","",1
"3002","International Lending with Moral Hazard and Risk of Repudiation",4,59,4,21,"Andrew Atkeson","","","","","Atkeson11","","","","",1
"3003","International Liquidity: A Welfare Analysis",3,98,1,24,"Michael Jones","","","","","OtherAuthor","","","","",1
"3004","International Macroeconomic Policy Coordination When Policymakers Do Not Agree o",1,78,3,23,"Jeffrey A. Frankel","Katharine E. Rockett","","","","OtherAuthor","OtherAuthor","","","",2
"3005","International Public Goods without International Government",1,76,1,13,"Charles P. Kindleberger","","","","","OtherAuthor","","","","",1
"3006","International R & D Rivalry and Industrial Strategy",5,50,4,16,"Barbara J. Spencer","James A. Brander","","","","OtherAuthor","OtherAuthor","","","",2
"3007","International Real Business Cycles",2,100,4,31,"David K. Backus","Patrick J. Kehoe","Finn E. Kydland","","","OtherAuthor","Kehoe10","OtherAuthor","","",3
"3008","International Spillovers and Water Quality in Rivers: Do Countries Free Ride?",1,92,4,7,"Hilary Sigman","","","","","OtherAuthor","","","","",1
"3009","International Stock Market Equilibrium with Heterogenous Tastes",1,89,3,10,"James A. Bennett","Leslie Young","","","","OtherAuthor","OtherAuthor","","","",2
"3010","International Trade and Currency Exchange",5,68,2,22,"Helene Rey","","","","","Rey5","","","","",1
"3011","International Trade and Human Capital: A Simple General Equilibrium Model",2,91,6,22,"Ronald Findlay","Henryk Kierzkowski","","","","FINDLAY","OtherAuthor","","","",2
"3012","International Trade and Labor Migration",1,75,4,17,"Wilfred J. Ethier","","","","","Ethier","","","","",1
"3013","International Trade with Lumpy Countries",2,100,1,13,"Paul N. Courant","Alan V. Deardorff","","","","COURANT14","DEARDORFF","","","",2
"3014","International Trade, Foreign Investment, and the Formation of the Entrepreneuria",1,74,4,10,"Gene M. Grossman","","","","","Grossman5","","","","",1
"3015","Interpersonal Comparability and Social Choice Theory",5,47,2,19,"Kevin W. S. Roberts","","","","","OtherAuthor","","","","",1
"3016","Interpolation from Grouped Data for Unimodal Densities",4,52,2,8,"Abba M. Krieger","Joseph L. Gastwirth","","","","OtherAuthor","OtherAuthor","","","",2
"3017","Interpreting Economic Time Series,",2,89,2,36,"Thomas J. Sargent","","","","","Sargent","","","","",1
"3018","Intertemporal Asset Pricing under Knightian Uncertainty",4,62,2,40,"Larry G. Epstein","Tan Wang","","","","Epstein13","OtherAuthor","","","",2
"3019","Intertemporal Asset Pricing without Consumption Data",1,83,3,26,"John Y. Campbell","","","","","OtherAuthor","","","","",1
"3020","Intertemporal Choice and Inequality",2,102,3,31,"Angus Deaton","Christina Paxson","","","","Deaton","Paxson5","","","",2
"3021","Intertemporal Cost Allocation and Managerial Investment Incentives: A Theory Exp",2,105,4,26,"William P. Rogerson","","","","","Rogerson","","","","",1
"3022","Intertemporal Depletion of Resource Sites by Spatially Distributed Users",1,91,4,11,"Gerard Gaudet","Michel Moreaux","Stephen W. Salant","","","OtherAuthor","OtherAuthor","SALANT","","",3
"3023","Intertemporal Duality: Application to the Theory of the Firm",4,48,7,8,"Keith R. McLaren","Russel J. Cooper","","","","OtherAuthor","OtherAuthor","","","",2
"3024","Intertemporal Equilibrium and the Transfer Paradox",5,54,1,10,"O. Galor","H. M. Polemarchakis","","","","OtherAuthor","OtherAuthor","","","",2
"3025","Intertemporal Labor Supply and Long-Term Employment Contracts",1,77,1,19,"John M. Abowd","David Card","","","","OtherAuthor","Card7","","","",2
"3026","Intertemporal Nonseparability or Borrowing Restrictions? A Disaggregate Analysis",4,64,5,31,"Costas Meghir","Guglielmo Weber","","","","OtherAuthor","OtherAuthor","","","",2
"3027","Intertemporal Population Ethics: Critical-Level Utilitarian Principles",4,63,6,18,"Charles Blackorby","Walter Bossert","David Donaldson","","","OtherAuthor","OtherAuthor","OtherAuthor","","",3
"3028","Intertemporal Preferences and Labor Supply",4,56,2,26,"V. Joseph Hotz","Finn E. Kydland","Guilherme L. Sedlacek","","","Hotz","OtherAuthor","OtherAuthor","","",3
"3029","Intertemporal Preferences for Uncertain Consumption: A Continuous Time Approach",4,60,4,21,"Ayman Hindy","Chi-fu Huang","","","","OtherAuthor","OtherAuthor","","","",2
"3030","Intertemporal Price Competition",4,58,3,23,"Jonathan Eaton","Maxim Engers","","","","Eaton17","Engers","","","",2
"3031","Intertemporal Price Discrimination and Sticky Prices",3,94,3,8,"Louis Phlips","","","","","OtherAuthor","","","","",1
"3032","Intertemporal Prices and the U.S. Trade Balance",1,82,5,20,"Michael C. Burda","Stefan Gerlach","","","","OtherAuthor","OtherAuthor","","","",2
"3033","Intertemporal Substitution in Consumption",2,96,2,19,"Robert E. Hall","","","","","Hall2","","","","",1
"3034","Intertemporal Substitution in Labor Supply: Evidence from Micro Data",2,93,3,40,"Joseph G. Altonji","","","","","Altonji","","","","",1
"3035","Intertemporal Substitution in Macroeconomics",3,100,1,27,"N. Gregory Mankiw","Julio J. Rotemberg","Lawrence H. Summers","","","Mankiw","OtherAuthor","Summers1","","",3
"3036","Intra-Day and Inter-Market Volatility in Foreign Exchange Rates",5,58,3,21,"Richard T. Baillie","Tim Bollerslev","","","","Baillie","Bollerslev","","","",2
"3037","Intra-Firm Bargaining under Non-Binding Contracts",5,63,3,36,"Lars A. Stole","Jeffrey Zwiebel","","","","OtherAuthor","OtherAuthor","","","",2
"3038","Intraindustry Specialization and the Gains from Trade,",2,89,5,15,"Paul R. Krugman","","","","","Krugman","","","","",1
"3039","Intraindustry Trade: Sources and Effects on Protection",2,95,6,14,"Howard P. Marvel","Edward John Ray","","","","MARVEL","OtherAuthor","","","",2
"3040","Intrinsic Bubbles: The Case of Stock Prices",1,81,5,26,"Kenneth A. Froot","Maurice Obstfeld","","","","OtherAuthor","Obstfeld","","","",2
"3041","Introductory Price as a Signal of Cost in a Model of Repeat Business",5,54,3,20,"Kyle Bagwell","","","","","BAGWELL","","","","",1
"3042","Invariance, Nonlinear Models, and Asymptotic Tests",4,59,6,15,"Marcel G. Dagenais","Jean-Marie Dufour","","","","OtherAuthor","OtherAuthor","","","",2
"3043","Invariant Distributions and the Limiting Behavior of Markovian Economic Models",4,50,2,32,"Carl A. Futia","","","","","OtherAuthor","","","","",1
"3044","Invariant Valuation When Tax Rates Change Over Time",2,98,2,5,"Andrew B. Lyon","","","","","OtherAuthor","","","","",1
"3045","Invention and Bounded Learning by Doing",2,101,3,30,"Alwyn Young","","","","","OtherAuthor","","","","",1
"3046","Invention and Innovation Under Alternative Market Structures: The Case of Natura",5,49,4,16,"Partha Dasgupta","Richard J. Gilbert","Joseph E. Stiglitz","","","OtherAuthor","gilbert7","OtherAuthor","","",3
"3047","Inventories and Interest Rates: A Critique of the Buffer Stock Model",1,76,1,9,"David G. Bivin","","","","","OtherAuthor","","","","",1
"3048","Inventories and Money Holdings in a Search Economy",4,58,4,22,"Peter Diamond","Joel Yellin","","","","Diamond","OtherAuthor","","","",2
"3049","Inventories and Price Inflexibility",4,51,3,12,"Seiichi Kawasaki","John McMillan","Klaus F. Zimmermann","","","OtherAuthor","OtherAuthor","OtherAuthor","","",3
